ID,Q5,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_7,Q8_8,Q8_9,Q8_10,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q9_13,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q10_12,Q10_13,Q10_14,Q10_15,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_11,Q11_12,Q11_7,Q11_8,Q11_9,Q11_10,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q14_12,Q14_13,Q14_15,Q14_14,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11,Q15_12,Q15_13,Q15_14,Q15_15,Q15_16,Q15_17,Q15_18,Q15_19,Q15_20,Q15_21,Q15_22,Q15_23,Q17,Q18,Q19,Q20,Q21,Q23,Q26,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q30_7,Q30_8,Q30_9,Q30_10
Unique ID for each participant,"How frequently do you visit the app store to look for apps?-1=Never, 2=Less than once a month, 3=Once a month, 4=More than once a month, 5=Once a week, 6=More than once a week, 7=Once a day, 8=Several times a day, 9=Other (please specify)","On average, how many apps do you download a month?-1=[0 - 1], 2=[2 - 5], 3=[6 - 10], 4=[11 - 20], 5=[21 - 30], 6=[More than 30]
",When do you look for apps? (please select all that apply)-When feeling depressed.,When do you look for apps? (please select all that apply)-When I need to carry out a task.,When do you look for apps? (please select all that apply)-When I am feeling bored.,When do you look for apps? (please select all that apply)-When I want to be entertained.,When do you look for apps? (please select all that apply)-When I need to know something.,When do you look for apps? (please select all that apply)-Other (please specify),How do you find apps? (please select all that apply)-I compare several apps in order to choose the best ones.,How do you find apps? (please select all that apply)-I download the first app that I see on the list of apps presented to me.,How do you find apps? (please select all that apply)-I look for apps that are featured on the front page of the app store.,How do you find apps? (please select all that apply)-I look at the top downloads chart.,How do you find apps? (please select all that apply)-I browse randomly for apps that might interest me.,How do you find apps? (please select all that apply)-I search the app store using keywords.,How do you find apps? (please select all that apply)-I visit websites that review apps.,"How do you find apps? (please select all that apply)-I use search engines (e.g., Google).",How do you find apps? (please select all that apply)-Other (please specify),What do you consider when choosing apps to download? (please select all that apply)-Reviews by other users,"What do you consider when choosing apps to download? (please select all that apply)-Name of app (e.g., catchy name)",What do you consider when choosing apps to download? (please select all that apply)-Number of users who have downloaded the app,"What do you consider when choosing apps to download? (please select all that apply)-Icon (e.g., if the icon is attractive)",What do you consider when choosing apps to download? (please select all that apply)-Description of the app,What do you consider when choosing apps to download? (please select all that apply)-Features,What do you consider when choosing apps to download? (please select all that apply)-Number of users who have rated the app,What do you consider when choosing apps to download? (please select all that apply)-Price,What do you consider when choosing apps to download? (please select all that apply)-Star rating,What do you consider when choosing apps to download? (please select all that apply)-Size of app,"What do you consider when choosing apps to download? (please select all that apply)-Screen shots (e.g., to see how the app looks like when running)",What do you consider when choosing apps to download? (please select all that apply)-Who developed the app,What do you consider when choosing apps to download? (please select all that apply)-Other (please specify),Why do you download an app? (please select all that apply)-To interact with friends and/or family.,Why do you download an app? (please select all that apply)-To interact with people I don't know.,Why do you download an app? (please select all that apply)-To help me carry out a task.,Why do you download an app? (please select all that apply)-It is featured in the app store.,Why do you download an app? (please select all that apply)-It is on the top downloads chart.,Why do you download an app? (please select all that apply)-It is advertised in the apps that I am using.,Why do you download an app? (please select all that apply)-For entertainment.,Why do you download an app? (please select all that apply)-Out of curiosity.,Why do you download an app? (please select all that apply)-An impulsive purchase.,"Why do you download an app? (please select all that apply)-It features brands or celebrities that I like (e.g., Coca-Cola, Michael Jackson).","Why do you download an app? (please select all that apply)-It was mentioned in the media (e.g., TV, newspaper, radio, blogs).","Why do you download an app? (please select all that apply)-It is an extension of the website that I use (e.g., Facebook app).",Why do you download an app? (please select all that apply)-It is recommended by friends and/or family.,"Why do you download an app? (please select all that apply)-For someone else (e.g., children, partner).",Why do you download an app? (please select all that apply)-Other (please specify),Why do you spend money on an app? (please select all that apply)-I do not pay for apps.,Why do you spend money on an app? (please select all that apply)-To remove advertisements from the app.,Why do you spend money on an app? (please select all that apply)-The paid app is on sale for a reduced price.,"Why do you spend money on an app? (please select all that apply)-To subscribe to free content (e.g., magazine, newspaper).",Why do you spend money on an app? (please select all that apply)-The app is initially free but I have to pay for features that I want.,Why do you spend money on an app? (please select all that apply)-I can't find a free app with similar features.,Why do you spend money on an app? (please select all that apply)-I think paid apps have better quality than free apps in general.,Why do you spend money on an app? (please select all that apply)-I think paid apps have more features than free apps in general.,Why do you spend money on an app? (please select all that apply)-To get additional features or content for a paid app.,"Why do you spend money on an app? (please select all that apply)-To subscribe to paid content (e.g., magazine, newspaper).","Why do you spend money on an app? (please select all that apply)-Compared to free apps with similar features, the paid app appears to be of better quality.",Why do you spend money on an app? (please select all that apply)-Other (please specify),Why do you rate apps? (please select all that apply)-I don't rate apps.,Why do you rate apps? (please select all that apply)-To let other users to know that the app is good.,Why do you rate apps? (please select all that apply)-Someone asked me to do so.,Why do you rate apps? (please select all that apply)-The app asked me to rate it.,Why do you rate apps? (please select all that apply)-To let other users to know that the app is bad.,Why do you rate apps? (please select all that apply)-The app rewards me for rating it.,Why do you rate apps? (please select all that apply)-Other (please specify),What makes you stop using an app? (please select all that apply)-It crashes.,What makes you stop using an app? (please select all that apply)-I found better alternatives.,What makes you stop using an app? (please select all that apply)-The advertisements are annoying.,What makes you stop using an app? (please select all that apply)-It is difficult to use.,What makes you stop using an app? (please select all that apply)-It is no longer used by my friends and/or family.,What makes you stop using an app? (please select all that apply)-I need to pay extra for the features I need.,What makes you stop using an app? (please select all that apply)-I forgot about the app.,What makes you stop using an app? (please select all that apply)-I do not need the features it provides.,What makes you stop using an app? (please select all that apply)-It invades my privacy.,What makes you stop using an app? (please select all that apply)-It is too slow.,What makes you stop using an app? (please select all that apply)-I got bored of it.,What makes you stop using an app? (please select all that apply)-It does not work.,What makes you stop using an app? (please select all that apply)-It does not have the features I hoped for.,What makes you stop using an app? (please select all that apply)-I don't need it anymore.,What makes you stop using an app? (please select all that apply)-Other (please specify),"Which type of apps do you download? (please select all that apply)-Navigation (e.g., GPS Navigation, Gyro Compass)","Which type of apps do you download? (please select all that apply)-Business (e.g., PrintCentral, Quickoffice)","Which type of apps do you download? (please select all that apply)-Catalogues (e.g., 1001 Home Interior Catalog, Art)","Which type of apps do you download? (please select all that apply)-Travel (e.g., TripAdvisor, Lonely Planet Traveller)","Which type of apps do you download? (please select all that apply)-Books (e.g., Kindle, Audiobook & Podcast Player)","Which type of apps do you download? (please select all that apply)-Photo & video (e.g., Adobe, iMovie)","Which type of apps do you download? (please select all that apply)-Lifestyle (e.g., eBay, Gumtree)","Which type of apps do you download? (please select all that apply)-Entertainment (e.g., X Factor, Toca Hair Salon)","Which type of apps do you download? (please select all that apply)-Finance (e.g., Debt Manager, Account Tracker)","Which type of apps do you download? (please select all that apply)-News (e.g., Sunday Times, Bloomberg Businessweek)","Which type of apps do you download? (please select all that apply)-Health & fitness (e.g., Calorie Counter, Simply Yoga)","Which type of apps do you download? (please select all that apply)-Games (e.g., Angry Birds, Flight Control)","Which type of apps do you download? (please select all that apply)-Food & drink (e.g., Domino's Pizza, Good Food Magazine)","Which type of apps do you download? (please select all that apply)-Education (e.g., MathStudio, TED)","Which type of apps do you download? (please select all that apply)-Medical (e.g., iStethoscope, Vision Test)","Which type of apps do you download? (please select all that apply)-Social networking (e.g., Skype, Facebook)","Which type of apps do you download? (please select all that apply)-Reference (e.g., Birds of Brazil, World's Longest Rivers)","Which type of apps do you download? (please select all that apply)-Sports (e.g., NFL Game Pass, LiveScore)","Which type of apps do you download? (please select all that apply)-Utilities (e.g., Calculator, Alarm Clock)","Which type of apps do you download? (please select all that apply)-Weather (e.g., Weather+, Weather Live)","Which type of apps do you download? (please select all that apply)-Productivity (e.g., Dropbox, Pages)","Which type of apps do you download? (please select all that apply)-Music (e.g., djay, Piano*)",Which type of apps do you download? (please select all that apply)-Other (please specify),"What is your age?-1=Male, 2=Female","What is your marital status?-1=In a relationship, 2=Single, 3=Married, 4=Divorced, 5=Widowed, 6=Separated, 7=Other (please specify)","What is your nationality?-1=American, 2=Australian, 3=Brazillian, 4=British, 5=Canadian, 6=Chinese, 7=French, 8=German, 9=Indian, 10=Italian, 11=Japanese, 12=Mexican, 13=Russian, 14=South Korean, 15=Spanish, 16=Other (please specify)","What is your country of residence?-1=Australia, 2=Brazil, 3=Canada, 4=China, 5=France, 6=Germany, 7=India, 8=Italy, 9=Japan, 10=Mexico, 11=Republic of Korea, 12=Russian Federation, 13=Spain, 14=United Kingdom, 15=United States, 16=Other (please specify)","What is your first language?-1=English, 2=French, 3=German, 4=Italian, 5=Japanese, 6=Korean, 7=Mandarin, 8=Portuguese, 9=Russian, 10=Spanish, 11=Other (please specify)","What is the highest level of education you have completed?-1=Primary school, 2=Secondary / High school, 3=Diploma, 4=Vocational training, 5=Undergraduate degree, 6=Master’s degree, 7=Doctoral degree, 8=Other (please specify)","What is your current employment status?-1=Full-time, 2=Part-time, 3=Self-employed, 4=Student, 5=Homemaker, 6=Unemployed, 7=Unable to work, 8=Retired, 9=Other (please specify)","Your personality may influence the types of apps you like. In this final section, we ask about your...-Extraverted, enthusiastic","Your personality may influence the types of apps you like. In this final section, we ask about your...-Critical, quarrelsome","Your personality may influence the types of apps you like. In this final section, we ask about your...-Dependable, self-disciplined","Your personality may influence the types of apps you like. In this final section, we ask about your...-Anxious, easily upset","Your personality may influence the types of apps you like. In this final section, we ask about your...-Open to new experiences, complex","Your personality may influence the types of apps you like. In this final section, we ask about your...-Reserved, quiet","Your personality may influence the types of apps you like. In this final section, we ask about your...-Sympathetic, warm","Your personality may influence the types of apps you like. In this final section, we ask about your...-Disorganized, careless","Your personality may influence the types of apps you like. In this final section, we ask about your...-Calm, emotionally stable","Your personality may influence the types of apps you like. In this final section, we ask about your...-Conventional, uncreative"
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,4,,1,1,1,1,,,,1,1,1,1,,,,,1,,1,1,1,1,1,,,1,,,1,,1,1,,,1,1,,1,,,1,,,1,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,1,,,,,,,,1,1,,,1,,1,,1,,1,,,1,1,,,,1,,21,2,1,4,7,5,4,6,3,7,2,6,3,4,3,4,4
3,7,3,,,1,,1,,1,,1,,,1,,1,,,1,,1,1,1,,1,,,1,,,1,,1,1,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,1,,1,,,1,1,,,1,,,,,,1,,1,,1,,,,,,1,,,,1,,,,,,1,,23,2,16,16,11,6,4,4,4,5,2,3,3,5,3,5,3
4,2,1,,1,,,,,,,,,,1,,1,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,1,,,37,3,10,14,4,7,1,4,3,6,3,5,5,5,2,5,3
5,5,2,,1,1,,1,,,,,1,,,1,,,1,,,,1,1,,,1,,,,,,,1,1,,,1,1,,,,,,,,,,1,,,1,,,,,,,,,,1,,1,,,1,,1,,,,,1,,,,,1,,,,,,,,1,,,1,,1,,1,,1,,,1,,1,,,30,2,12,15,10,7,1,2,6,4,3,6,5,7,3,5,3
6,2,1,,1,,,1,,,1,,,,,,1,,1,,1,,,1,,,1,,,,,1,,,,,,,,,,,1,1,,,1,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,29,1,4,14,1,7,1,3,2,6,2,6,4,3,2,5,2
7,4,1,,1,,1,,,1,,,1,,1,,,,1,,1,,,,,1,1,1,1,,,1,,1,,,,1,,,,,1,,1,,,,1,,,1,,,1,,1,,1,,,,,1,,1,,1,,,,,,1,1,,1,1,1,,,,,,1,1,,,,,1,1,,,,1,,,1,,1,,,29,3,16,16,7,5,3,4,3,4,3,5,4,5,6,5,4
8,2,1,,1,,,,,,,,,,1,,,,1,,1,,1,,1,1,1,,,1,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,1,1,,,1,,1,1,,,1,1,1,,,,,,,1,,,,,,,,,,1,,,1,1,,,,31,3,2,1,11,5,1,4,4,4,1,5,6,4,2,5,6
9,3,1,,1,,,1,,1,,,1,,,,,,1,,,,,,1,1,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,,1,,,,1,,1,,,1,,,1,1,,,1,,,1,,1,,1,,,,,,,1,1,,,,28,2,11,9,5,7,1,4,3,4,6,6,5,4,5,4,6
